PROCEDIMENTO;A;;;B;;;C;;
;Total;Cirurgia;Anestesia;Total;Cirurgia;Anestesia;Total;Cirurgia;Anestesia
Mamoplastia de Aumento;17.000,00;15.000,00;2.000,00;19.000,00;17.000,00;2.000,00;21.000,00;19.000,00;2.000,00
  + Lipoaspiração de Pré-Axilas;18.000,00;16.000,00;2.000,00;20.000,00;18.000,00;2.000,00;22.000,00;20.000,00;2.000,00
  + Lipoaspiração de Contorno Mamário;19.000,00;17.000,00;2.000,00;21.000,00;19.000,00;2.000,00;23.000,00;21.000,00;2.000,00
  + Papiloplastia - Redução de Papilas Mamárias;19.000,00;17.000,00;2.000,00;21.000,00;19.000,00;2.000,00;23.000,00;21.000,00;2.000,00
  + Papiloplastia - Eversão de Papilas Mamárias;19.000,00;17.000,00;2.000,00;21.000,00;19.000,00;2.000,00;23.000,00;21.000,00;2.000,00
Lipoenxertia Mamária de Aumento;20.000,00;17.000,00;3.000,00;22.000,00;19.000,00;3.000,00;24.000,00;21.000,00;3.000,00
Substituição de Implantes Mamários;20.000,00;18.000,00;2.000,00;22.000,00;20.000,00;2.000,00;24.000,00;22.000,00;2.000,00
  + Lipoaspiração de Pré-Axilas;21.000,00;19.000,00;2.000,00;23.000,00;21.000,00;2.000,00;25.000,00;23.000,00;2.000,00
  + Lipoaspiração de Contorno Mamário;22.000,00;20.000,00;2.000,00;24.000,00;22.000,00;2.000,00;26.000,00;24.000,00;2.000,00
  + Papiloplastia - Redução de Papilas Mamárias;22.000,00;20.000,00;2.000,00;24.000,00;22.000,00;2.000,00;26.000,00;24.000,00;2.000,00
  + Papiloplastia - Eversão de Papilas Mamárias;22.000,00;20.000,00;2.000,00;24.000,00;22.000,00;2.000,00;26.000,00;24.000,00;2.000,00
Substituição de Implantes Mamários e Tratamento Cirúrgico de Contratura Capsular;20.000,00;18.000,00;2.000,00;22.000,00;20.000,00;2.000,00;24.000,00;22.000,00;2.000,00
  + Lipoaspiração de Pré-Axilas;21.000,00;19.000,00;2.000,00;23.000,00;21.000,00;2.000,00;25.000,00;23.000,00;2.000,00
  + Lipoaspiração de Contorno Mamário;22.000,00;20.000,00;2.000,00;24.000,00;22.000,00;2.000,00;26.000,00;24.000,00;2.000,00
  + Papiloplastia - Redução de Papilas Mamárias;22.000,00;20.000,00;2.000,00;24.000,00;22.000,00;2.000,00;26.000,00;24.000,00;2.000,00
  + Papiloplastia - Eversão de Papilas Mamárias;22.000,00;20.000,00;2.000,00;24.000,00;22.000,00;2.000,00;26.000,00;24.000,00;2.000,00
Retirada de Implantes e Lipoenxertia Mamária;22.000,00;19.000,00;3.000,00;26.000,00;23.000,00;3.000,00;26.000,00;23.000,00;3.000,00
Mastopexia;27.000,00;24.000,00;3.000,00;30.000,00;27.000,00;3.000,00;33.000,00;30.000,00;3.000,00
  + Lipoaspiração de Pré-Axilas;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00
  + Lipoaspiração de Contorno Mamário;29.000,00;26.000,00;3.000,00;32.000,00;29.000,00;3.000,00;35.000,00;32.000,00;3.000,00
  + Papiloplastia - Redução de Papilas Mamárias;29.000,00;26.000,00;3.000,00;32.000,00;29.000,00;3.000,00;35.000,00;32.000,00;3.000,00
  + Papiloplastia - Eversão de Papilas Mamárias;29.000,00;26.000,00;3.000,00;32.000,00;29.000,00;3.000,00;35.000,00;32.000,00;3.000,00
  + Retirada de Implantes;29.000,00;26.000,00;3.000,00;32.000,00;29.000,00;3.000,00;35.000,00;32.000,00;3.000,00
  + Retirada de Implantes e Lipoenxertia Mamária;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00;37.000,00;34.000,00;3.000,00
Mastopexia com Implantes;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00
  + Lipoaspiração de Pré-Axilas;29.000,00;26.000,00;3.000,00;32.000,00;29.000,00;3.000,00;35.000,00;32.000,00;3.000,00
  + Lipoaspiração de Contorno Mamário;30.000,00;27.000,00;3.000,00;33.000,00;30.000,00;3.000,00;36.000,00;33.000,00;3.000,00
  + Papiloplastia - Redução de Papilas Mamárias;30.000,00;27.000,00;3.000,00;33.000,00;30.000,00;3.000,00;36.000,00;33.000,00;3.000,00
  + Papiloplastia - Eversão de Papilas Mamárias;30.000,00;27.000,00;3.000,00;33.000,00;30.000,00;3.000,00;36.000,00;33.000,00;3.000,00
 Mastopexia com Substituição de Implantes;30.000,00;27.000,00;3.000,00;33.000,00;30.000,00;3.000,00;36.000,00;33.000,00;3.000,00
  + Lipoaspiração de Pré-Axilas;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00;37.000,00;34.000,00;3.000,00
  + Lipoaspiração de Contorno Mamário;32.000,00;29.000,00;3.000,00;35.000,00;32.000,00;3.000,00;38.000,00;35.000,00;3.000,00
  + Papiloplastia - Redução de Papilas Mamárias;32.000,00;29.000,00;3.000,00;35.000,00;32.000,00;3.000,00;38.000,00;35.000,00;3.000,00
  + Papiloplastia - Eversão de Papilas Mamárias;32.000,00;29.000,00;3.000,00;35.000,00;32.000,00;3.000,00;38.000,00;35.000,00;3.000,00
  + Tratamento Cirúrgico de Contratura Capsular;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00;37.000,00;34.000,00;3.000,00
Mamoplastia Redutora;29.000,00;26.000,00;3.000,00;32.000,00;29.000,00;3.000,00;35.000,00;32.000,00;3.000,00
  + Lipoaspiração de Pré-Axilas;30.000,00;27.000,00;3.000,00;33.000,00;30.000,00;3.000,00;36.000,00;33.000,00;3.000,00
  + Lipoaspiração de Contorno Mamário;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00;37.000,00;34.000,00;3.000,00
  + Papiloplastia - Redução de Papilas Mamárias;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00;37.000,00;34.000,00;3.000,00
  + Papiloplastia - Eversão de Papilas Mamárias;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00;37.000,00;34.000,00;3.000,00
  + Retirada de Implantes;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00;37.000,00;34.000,00;3.000,00
Mamoplastia Redutora com Implantes;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00;37.000,00;34.000,00;3.000,00
  + Lipoaspiração de Pré-Axilas;32.000,00;29.000,00;3.000,00;35.000,00;32.000,00;3.000,00;38.000,00;35.000,00;3.000,00
  + Lipoaspiração de Contorno Mamário;33.000,00;30.000,00;3.000,00;36.000,00;33.000,00;3.000,00;39.000,00;36.000,00;3.000,00
